depCount	TestedCount	fractionDep	DUB	rank
0	742	0	ATXN3L	1
0	790	0	JOSD2	2
0	790	0	OTUB2	3
0	790	0	OTUD7B	4
0	790	0	USP20	5
0	742	0	USP26	6
0	790	0	USP29	7
0	790	0	USP31	8
0	790	0	USP54	9
0	790	0	ZUP1	10
1	790	0.00126582278481013	MINDY3	11
1	790	0.00126582278481013	MINDY4	12
1	790	0.00126582278481013	OTUD1	13
1	790	0.00126582278481013	OTULINL	14
1	790	0.00126582278481013	UCHL1	15
1	790	0.00126582278481013	USP25	16
1	790	0.00126582278481013	USP43	17
1	790	0.00126582278481013	USP45	18
1	790	0.00126582278481013	USP46	19
1	742	0.00134770889487871	USP27X	20
1	731	0.00136798905608755	USP11	21
2	790	0.00253164556962025	OTUD4	22
2	790	0.00253164556962025	OTUD7A	23
2	790	0.00253164556962025	STAMBPL1	24
2	790	0.00253164556962025	USP12	25
2	790	0.00253164556962025	USP40	26
2	790	0.00253164556962025	YOD1	27
2	778	0.0025706940874036	MYSM1	28
2	778	0.0025706940874036	USP49	29
3	790	0.00379746835443038	USP30	30
3	790	0.00379746835443038	USP47	31
3	778	0.0038560411311054	USP3	32
3	742	0.00404312668463612	OTUD6A	33
3	742	0.00404312668463612	USP51	34
3	731	0.00410396716826265	BRCC3	35
4	790	0.00506329113924051	ATXN3	36
4	790	0.00506329113924051	USP42	37
4	790	0.00506329113924051	USP48	38
5	790	0.00632911392405063	OTUD6B	39
5	790	0.00632911392405063	USP28	40
5	778	0.006426735218509	USP16	41
6	790	0.00759493670886076	OTUD3	42
6	790	0.00759493670886076	USP2	43
6	790	0.00759493670886076	USP44	44
6	778	0.0077120822622108	USP22	45
7	790	0.00886075949367089	USP34	46
8	790	0.010126582278481	UCHL3	47
8	790	0.010126582278481	USP33	48
9	790	0.0113924050632911	OTULIN	49
9	790	0.0113924050632911	USP13	50
9	790	0.0113924050632911	USP15	51
10	789	0.0126742712294043	TNFAIP3	52
13	789	0.0164765525982256	USP53	53
17	789	0.0215462610899873	ZRANB1	54
19	789	0.0240811153358682	USP32	55
19	789	0.0240811153358682	USP38	56
19	789	0.0240811153358682	USP50	57
21	777	0.027027027027027	OTUB1	58
27	777	0.0347490347490347	USP21	59
28	789	0.0354879594423321	USP24	60
37	789	0.0468948035487959	CYLD	61
39	789	0.0494296577946768	MPND	62
44	789	0.055766793409379	USP35	63
46	789	0.0583016476552598	USP4	64
59	789	0.0747782002534854	PAN2	65
71	789	0.0899873257287706	USP14	66
74	789	0.0937896070975919	JOSD1	67
113	789	0.143219264892269	USP1	68
114	789	0.144486692015209	USP6	69
124	789	0.157160963244613	USP18	70
179	789	0.226869455006337	MINDY1	71
251	789	0.318124207858048	STAMBP	72
272	789	0.344740177439797	USP19	73
274	789	0.347275031685678	VCPIP1	74
359	741	0.484480431848853	OTUD5	75
383	789	0.485424588086185	MINDY2	76
385	777	0.495495495495495	UCHL5	77
525	789	0.665399239543726	USP39	78
542	789	0.686945500633714	USP10	79
587	777	0.755469755469755	BAP1	80
633	789	0.802281368821293	USP37	81
626	777	0.805662805662806	USP7	82
682	741	0.920377867746289	USP9X	83
761	789	0.964512040557668	EIF3H	84
774	789	0.980988593155893	EIF3F	85
774	789	0.980988593155893	USP8	86
782	789	0.991128010139417	USPL1	87
788	789	0.99873257287706	USP5	88
777	777	1	COPS5	89
789	789	1	COPS6	90
789	789	1	PRPF8	91
777	777	1	PSMD14	92
789	789	1	PSMD7	93
789	789	1	USP36	94
