DUB	interactors	database
BAP1	HCFC1	Biogrid
BAP1	FOXK2	Biogrid
BAP1	IPO5	Biogrid
BAP1	PPM1G	Biogrid
BAP1	RBBP7	Biogrid
BAP1	OGT	Biogrid
BAP1	HAT1	Biogrid
BAP1	EIF4EBP3	Biogrid
BAP1	PSME3	Biogrid
BAP1	CBX1	Biogrid
BAP1	CBX3	Biogrid
BAP1	AHCYL2	Biogrid
BAP1	ANKRD17	Biogrid
BAP1	ANAPC7	Biogrid
BAP1	ASXL2	Biogrid
BAP1	UBE2O	Biogrid
BAP1	IPO4	Biogrid
BAP1	ASXL1	Biogrid
BAP1	KDM1B	Biogrid
BAP1	FOXK1	Biogrid
BAP1	HSPA2	Biogrid
BAP1	Bap1	Biogrid
BAP1	PTEN	Biogrid
BAP1	HIST2H2AC	Biogrid
BAP1	ZC3H13	Biogrid
BAP1	PRDM10	Biogrid
BAP1	HSPA9	Biogrid
BAP1	ZNF131	Biogrid
BAP1	HSPA1A	Biogrid
BAP1	EFNA2	Biogrid
BAP1	ELF2	Biogrid
BAP1	YY1	Biogrid
BAP1	BRCA1	Biogrid
BAP1	TRIM63	Biogrid
BAP1	USP21	Biogrid
BAP1	USP15	Biogrid
BAP1	USP28	Biogrid
BAP1	USP2	Biogrid
BAP1	HIST2H2AA3	Biogrid
BAP1	INO80	Biogrid
BAP1	UBC	Biogrid
BAP1	MAP3K1	Biogrid
BAP1	Ogt	Biogrid
BAP1	BAG4	Biogrid
BAP1	BCAR3	Biogrid
BAP1	CASP8	Biogrid
BAP1	ESR1	Biogrid
BAP1	IGF1R	Biogrid
BAP1	NBN	Biogrid
BAP1	PTPRJ	Biogrid
BAP1	RB1CC1	Biogrid
BAP1	XRCC3	Biogrid
BAP1	SMS	Biogrid
BAP1	TSNAX	Biogrid
BAP1	KIAA1107	Biogrid
BAP1	ENTHD2	Biogrid
BAP1	Vbp1	Biogrid
BAP1	Sept6	Biogrid
BAP1	MCRS1	Biogrid
BAP1	ASXL3	Biogrid
BAP1	HIST1H2AB	Biogrid
BAP1	KLF5	Biogrid
BAP1	GOPC	Biogrid
BAP1	CAMK2D	Biogrid
BAP1	LINC00598	Biogrid
BAP1	L3MBTL2	Biogrid
BAP1	PTPLAD1	Biogrid
BAP1	HCFC2	Biogrid
BAP1	MBD6	Biogrid
BAP1	PGAM5	Biogrid
BAP1	PSMC6	Biogrid
BAP1	PSMC4	Biogrid
BAP1	PSMC2	Biogrid
BAP1	PSMC5	Biogrid
BAP1	PSMD11	Biogrid
BAP1	PSMD7	Biogrid
BAP1	PSMD2	Biogrid
BAP1	PSMD3	Biogrid
BAP1	PSMD4	Biogrid
BAP1	PSMD8	Biogrid
BAP1	SSR4	Biogrid
BAP1	TUBA1C	Biogrid
BAP1	ITPR3	Biogrid
BAP1	CBX5	Biogrid
BAP1	CBLC	Biogrid
BAP1	SFN	Biogrid
BAP1	YWHAZ	Biogrid
BAP1	YWHAE	Biogrid
BAP1	YWHAB	Biogrid
BAP1	LMAN2	Biogrid
BAP1	YWHAQ	Biogrid
BAP1	YWHAH	Biogrid
BAP1	KMT2C	Biogrid
BAP1	KDM6A	Biogrid
BAP1	CTNNB1	Biogrid
UCHL1	CBX1	Biogrid
UCHL1	NEDD8	Biogrid
UCHL1	UBC	Biogrid
UCHL1	UBE2I	Biogrid
UCHL1	RANBP9	Biogrid
UCHL1	COPS5	Biogrid
UCHL1	CDKN1B	Biogrid
UCHL1	TP53	Biogrid
UCHL1	KRT4	Biogrid
UCHL1	KRT17	Biogrid
UCHL1	USP21	Biogrid
UCHL1	CCDC14	Biogrid
UCHL1	EGFR	Biogrid
UCHL1	CTNNB1	Biogrid
UCHL1	SMN1	Biogrid
UCHL1	MDM2	Biogrid
UCHL1	CDKN2A	Biogrid
UCHL1	TUBA1A	Biogrid
UCHL1	TERF2IP	Biogrid
UCHL1	TINF2	Biogrid
UCHL1	LAMP2	Biogrid
UCHL1	HSPA8	Biogrid
UCHL1	HSP90AA1	Biogrid
UCHL1	CDK2	Biogrid
UCHL1	ADRA2A	Biogrid
UCHL1	ADRA2B	Biogrid
UCHL1	ADRA2C	Biogrid
UCHL1	ADRB2	Biogrid
UCHL1	AKT1	Biogrid
UCHL1	NCAM1	Biogrid
UCHL1	TRIM63	Biogrid
UCHL1	TRIM54	Biogrid
UCHL1	USP15	Biogrid
UCHL1	USP28	Biogrid
UCHL1	WDR82	Biogrid
UCHL1	DDB1	Biogrid
UCHL1	RPTOR	Biogrid
UCHL1	IQCB1	Biogrid
UCHL1	CDK1	Biogrid
UCHL1	CDK4	Biogrid
UCHL1	CDK5	Biogrid
UCHL1	CDK6	Biogrid
UCHL1	PMAIP1	Biogrid
UCHL1	TRAF3	Biogrid
UCHL1	TRAF6	Biogrid
UCHL1	NMRAL1	Biogrid
UCHL1	TNFRSF1A	Biogrid
UCHL1	ERN1	Biogrid
UCHL1	PLA2G2A	Biogrid
UCHL1	PARK2	Biogrid
UCHL1	CUL7	Biogrid
UCHL1	NTRK1	Biogrid
UCHL1	APP	Biogrid
UCHL1	DERL1	Biogrid
UCHL1	DLST	Biogrid
UCHL1	SOD1	Biogrid
UCHL1	AKT2	Biogrid
UCHL1	TERF2	Biogrid
UCHL1	PPTC7	Biogrid
UCHL1	PHOSPHO1	Biogrid
UCHL1	MITF	Biogrid
UCHL1	RPS6	Biogrid
UCHL1	ACTC1	Biogrid
UCHL3	NEDD8	Biogrid
UCHL3	COPS5	Biogrid
UCHL3	COPS6	Biogrid
UCHL3	USP20	Biogrid
UCHL3	CLPB	Biogrid
UCHL3	SMAD1	Biogrid
UCHL3	HMP19	Biogrid
UCHL3	POGK	Biogrid
UCHL3	UBC	Biogrid
UCHL3	UBE2S	Biogrid
UCHL3	UCHL3	Biogrid
UCHL3	ATXN7L3	Biogrid
UCHL3	PJA1	Biogrid
UCHL3	TRIM63	Biogrid
UCHL3	TRIM55	Biogrid
UCHL3	TRIM54	Biogrid
UCHL3	USP21	Biogrid
UCHL3	USP15	Biogrid
UCHL3	USP28	Biogrid
UCHL3	TSN	Biogrid
UCHL3	ZFYVE19	Biogrid
UCHL3	AHCYL1	Biogrid
UCHL3	UBA6	Biogrid
UCHL3	ZNF593	Biogrid
UCHL3	USP48	Biogrid
UCHL3	USP9X	Biogrid
UCHL3	SSSCA1	Biogrid
UCHL3	USP34	Biogrid
UCHL3	USP5	Biogrid
UCHL3	UBE2V1	Biogrid
UCHL3	UBQLN1	Biogrid
UCHL3	CSE1L	Biogrid
UCHL3	UBE2A	Biogrid
UCHL3	XIAP	Biogrid
UCHL3	UBXN7	Biogrid
UCHL3	UBR1	Biogrid
